frame,class,x1,y1,x2,y2,confidence
0,person,533.7254,686.3998,579.3201,784.5262,0.8626
0,person,851.9286,634.3026,901.0170,722.5080,0.8573
0,person,994.6577,454.4098,1027.5846,525.7167,0.8546
0,person,1369.0548,814.1021,1444.1683,903.6414,0.8426
0,person,1570.5789,610.6716,1614.1005,696.1235,0.8392
0,person,1309.2797,445.3984,1351.7587,517.6505,0.8314
0,person,359.1696,720.3539,394.5005,825.0251,0.8311
0,person,872.3297,362.0067,905.3227,422.5176,0.8062
0,person,326.4586,495.4453,364.1342,570.0192,0.7943
0,person,1276.7467,393.0129,1308.4247,463.8371,0.7864
0,person,222.2053,513.5491,256.0267,595.1774,0.7824
0,person,127.9198,970.6769,168.2990,1079.4891,0.7763
0,person,1228.4320,432.1042,1264.1536,501.7365,0.7712
0,person,591.1612,589.1539,631.5229,672.9655,0.7647
0,person,1850.2113,807.9705,1894.1899,920.6158,0.7580
0,person,375.3304,306.0680,400.7169,366.3661,0.7555
0,person,1157.8722,356.2539,1187.4165,412.3698,0.7395
0,person,775.2947,416.3584,805.8869,492.4030,0.7214
0,person,1123.6646,707.4123,1178.2966,793.1924,0.6238
0,person,776.6098,368.0706,802.8701,426.4672,0.6187
0,sports ball,1186.3846,849.4204,1204.6278,866.3518,0.6069
0,person,1033.3108,931.2722,1075.2504,1053.7090,0.5019
0,person,1151.0299,728.4727,1198.9360,796.4489,0.4950
1,person,533.6316,686.4365,579.2705,784.4839,0.8643
1,person,851.9351,634.1569,901.0394,722.5317,0.8568
1,person,994.6437,454.4214,1027.6481,525.7515,0.8520
1,person,1369.0568,814.1215,1444.1633,903.6363,0.8427
1,person,1570.6619,610.6459,1614.1648,696.1201,0.8389
1,person,359.1620,720.4056,394.4987,825.0319,0.8309
1,person,1309.3292,444.9961,1351.7079,517.6307,0.8306
1,person,872.3088,362.0194,905.3077,422.5215,0.8059
1,person,326.4726,495.3363,364.1439,570.0075,0.7937
1,person,1276.7509,393.0660,1308.4103,463.8164,0.7875
1,person,222.1838,513.3112,256.0189,595.1781,0.7818
1,person,127.8812,970.6912,168.2781,1079.4738,0.7774
1,person,1228.4814,432.1544,1264.1669,501.7386,0.7698
1,person,591.0994,589.0695,631.5176,672.9591,0.7651
1,person,1850.0527,808.0115,1894.1998,920.4902,0.7592
1,person,375.3384,306.0730,400.7633,366.3679,0.7537
1,person,1157.9642,356.2255,1187.3988,412.3432,0.7353
1,person,775.2220,416.4857,805.7922,492.3484,0.7169
1,person,776.3842,367.5857,802.8856,426.7323,0.6361
1,person,1123.6688,707.4110,1178.2731,793.2124,0.6227
1,sports ball,1186.3608,849.4365,1204.5959,866.3232,0.6006
1,person,1151.1256,728.4542,1198.7480,796.4349,0.4955
1,person,1033.4393,931.5905,1075.2247,1052.2332,0.4539
2,person,535.4803,687.6166,580.,786.0651,0.8572
2,person,359.3653,723.8785,397.7364,825.9278,0.8450
2,person,1369.1654,814.9680,1439.8386,903.8113,0.8432
2,person,997.2647,454.2801,1028.5779,525.9489,0.8403
2,person,1575.3417,613.5024,1617.4006,695.6506,0.8400
2,person,1309.3661,447.1960,1354.7067,517.4041,0.8313
2,person,327.6583,494.3023,365.5999,569.6064,0.8180
2,person,596.3033,590.6827,637.3519,672.7304,0.8167
2,person,1280.1471,394.2538,1309.7424,463.1975,0.8047
2,person,861.2421,638.1306,905.3718,724.8593,0.7996
2,person,873.8423,361.1570,905.8397,422.7330,0.7953
2,person,1229.3309,431.2097,1266.8058,501.4374,0.7874
2,person,222.9438,513.4641,256.8102,594.3732,0.7871
2,person,127.6791,970.5439,168.3571,1079.5481,0.7796
2,person,1850.6375,808.2713,1893.7859,920.3198,0.7666
2,person,375.0157,306.0342,400.6277,366.4360,0.7491
2,person,775.6124,417.3488,805.7772,492.3203,0.7175
2,person,1165.0756,356.2482,1189.9922,412.1514,0.7078
