frame,class,x1,y1,x2,y2,confidence
0,person,tensor(533.7254),tensor(686.3998),tensor(579.3201),tensor(784.5262),tensor(0.8626)
0,person,tensor(851.9286),tensor(634.3026),tensor(901.0170),tensor(722.5080),tensor(0.8573)
0,person,tensor(994.6577),tensor(454.4098),tensor(1027.5846),tensor(525.7167),tensor(0.8546)
0,person,tensor(1369.0548),tensor(814.1021),tensor(1444.1683),tensor(903.6414),tensor(0.8426)
0,person,tensor(1570.5789),tensor(610.6716),tensor(1614.1005),tensor(696.1235),tensor(0.8392)
0,person,tensor(1309.2797),tensor(445.3984),tensor(1351.7587),tensor(517.6505),tensor(0.8314)
0,person,tensor(359.1696),tensor(720.3539),tensor(394.5005),tensor(825.0251),tensor(0.8311)
0,person,tensor(872.3297),tensor(362.0067),tensor(905.3227),tensor(422.5176),tensor(0.8062)
0,person,tensor(326.4586),tensor(495.4453),tensor(364.1342),tensor(570.0192),tensor(0.7943)
0,person,tensor(1276.7467),tensor(393.0129),tensor(1308.4247),tensor(463.8371),tensor(0.7864)
0,person,tensor(222.2053),tensor(513.5491),tensor(256.0267),tensor(595.1774),tensor(0.7824)
0,person,tensor(127.9198),tensor(970.6769),tensor(168.2990),tensor(1079.4891),tensor(0.7763)
0,person,tensor(1228.4320),tensor(432.1042),tensor(1264.1536),tensor(501.7365),tensor(0.7712)
0,person,tensor(591.1612),tensor(589.1539),tensor(631.5229),tensor(672.9655),tensor(0.7647)
0,person,tensor(1850.2113),tensor(807.9705),tensor(1894.1899),tensor(920.6158),tensor(0.7580)
0,person,tensor(375.3304),tensor(306.0680),tensor(400.7169),tensor(366.3661),tensor(0.7555)
0,person,tensor(1157.8722),tensor(356.2539),tensor(1187.4165),tensor(412.3698),tensor(0.7395)
0,person,tensor(775.2947),tensor(416.3584),tensor(805.8869),tensor(492.4030),tensor(0.7214)
0,person,tensor(1123.6646),tensor(707.4123),tensor(1178.2966),tensor(793.1924),tensor(0.6238)
0,person,tensor(776.6098),tensor(368.0706),tensor(802.8701),tensor(426.4672),tensor(0.6187)
0,sports ball,tensor(1186.3846),tensor(849.4204),tensor(1204.6278),tensor(866.3518),tensor(0.6069)
0,person,tensor(1033.3108),tensor(931.2722),tensor(1075.2504),tensor(1053.7090),tensor(0.5019)
0,person,tensor(1151.0299),tensor(728.4727),tensor(1198.9360),tensor(796.4489),tensor(0.4950)
1,person,tensor(533.6316),tensor(686.4365),tensor(579.2705),tensor(784.4839),tensor(0.8643)
1,person,tensor(851.9351),tensor(634.1569),tensor(901.0394),tensor(722.5317),tensor(0.8568)
1,person,tensor(994.6437),tensor(454.4214),tensor(1027.6481),tensor(525.7515),tensor(0.8520)
1,person,tensor(1369.0568),tensor(814.1215),tensor(1444.1633),tensor(903.6363),tensor(0.8427)
1,person,tensor(1570.6619),tensor(610.6459),tensor(1614.1648),tensor(696.1201),tensor(0.8389)
1,person,tensor(359.1620),tensor(720.4056),tensor(394.4987),tensor(825.0319),tensor(0.8309)
1,person,tensor(1309.3292),tensor(444.9961),tensor(1351.7079),tensor(517.6307),tensor(0.8306)
1,person,tensor(872.3088),tensor(362.0194),tensor(905.3077),tensor(422.5215),tensor(0.8059)
