,frame,track_id,cx,cy,x1,y1,x2,y2,confidence,row_in_frame,class,side,X_m,Y_m,role
0,0,10,148.1094,1025.083,127.9198,970.6769,168.299,1079.4891,0.7763,0,person,right,64.49257069649302,6.030414857295178,player
1,0,9,239.116,554.3632,222.2053,513.5491,256.0267,595.1774,0.7824,1,person,right,77.2003786493563,26.49304074660537,player
2,0,2,345.2964,532.7322,326.4586,495.4453,364.1342,570.0192,0.7943,2,person,right,79.19992205337955,27.104848430046548,player
3,0,8,376.8351,772.6895,359.1696,720.3539,394.5005,825.0251,0.8311,3,person,right,72.09402483214514,14.4446192069416,player
4,0,13,388.0236,336.217,375.3304,306.068,400.7169,366.3661,0.7555,4,person,right,88.47439188700582,41.395163713398,player
5,0,0,556.5228,735.463,533.7254,686.3998,579.3201,784.5262,0.8626,5,person,right,74.89211739311479,15.16936923438479,player
6,0,11,611.342,631.0597,591.1612,589.1539,631.5229,672.9655,0.7647,6,person,right,78.65562231686056,19.852018296661477,player
7,0,3,790.5908,454.3807,775.2947,416.3584,805.8869,492.403,0.7214,7,person,right,87.4834701401809,28.98529556967699,referee
8,0,3,789.7399,397.2689,776.6098,368.0706,802.8701,426.4672,0.6187,8,person,right,90.2074846298682,32.9727425027952,referee
9,0,1,876.4728,678.4053,851.9286,634.3026,901.017,722.508,0.8573,9,person,right,79.78813460664537,16.0884796184414,player
10,0,7,888.8262,392.2622,872.3297,362.0067,905.3227,422.5176,0.8062,10,person,right,91.60306822962993,32.54950443093064,player
11,0,18,1011.1212,490.0632,994.6577,454.4098,1027.5846,525.7167,0.8546,11,person,right,88.29597658699433,25.19220869158348,player
12,0,17,1054.2806,992.4906,1033.3108,931.2722,1075.2504,1053.709,0.5019,12,person,right,72.97441881747454,3.6594942881469312,player
13,0,16,1150.9806,750.3023,1123.6646,707.4123,1178.2966,793.1924,0.6238,13,person,right,80.13580832507765,11.644785429543932,player
14,0,16,1174.983,762.4608,1151.0299,728.4727,1198.936,796.4489,0.495,14,person,right,79.98630614736292,11.052055232626891,player
15,0,15,1172.6444,384.3118,1157.8722,356.2539,1187.4165,412.3698,0.7395,15,person,right,95.20308642236316,30.902017994009995,player
16,0,14,1195.5062,857.8861,1186.3846,849.4204,1204.6278,866.3518,0.6069,16,sports ball,right,77.45903076300846,7.447062885801713,ball
17,0,4,1246.2928,466.9204,1228.432,432.1042,1264.1536,501.7365,0.7712,17,person,right,91.83006153642316,25.0105740855348,player
18,0,4,1292.5857,428.425,1276.7467,393.0129,1308.4247,463.8371,0.7864,18,person,right,94.19357118723391,27.07355811214643,player
19,0,4,1330.5192,481.5244,1309.2797,445.3984,1351.7587,517.6505,0.8314,19,person,right,92.01623452744116,23.594929369752972,player
20,0,5,1406.6116,858.8718,1369.0548,814.1021,1444.1683,903.6414,0.8426,20,person,right,79.24580006895106,6.556882739791671,player
21,0,6,1592.3397,653.3976,1570.5789,610.6716,1614.1005,696.1235,0.8392,21,person,right,87.43528263094066,13.538284942316356,player
22,0,12,1872.2006,864.2932,1850.2113,807.9705,1894.1899,920.6158,0.758,22,person,right,82.94359777383767,4.565148694357679,player
23,1,10,148.0797,1025.0825,127.8812,970.6912,168.2781,1079.4738,0.7774,0,person,right,64.49231234484479,6.03054543807828,player
24,1,9,239.1013,554.2446,222.1838,513.3112,256.0189,595.1781,0.7818,1,person,right,77.20437204612875,26.50042226561908,player
25,1,2,345.3082,532.6719,326.4726,495.3363,364.1439,570.0075,0.7937,2,person,right,79.20229789910812,27.10854044623126,player
26,1,8,376.8303,772.7188,359.162,720.4056,394.4987,825.0319,0.8309,3,person,right,72.09321933140873,14.44337837303737,player
27,1,13,388.0508,336.2205,375.3384,306.073,400.7633,366.3679,0.7537,4,person,right,88.47455968629195,41.39460391833624,player
28,1,0,556.451,735.4602,533.6316,686.4365,579.2705,784.4839,0.8643,5,person,right,74.89148363130904,15.16985927341342,player
29,1,11,611.3085,631.0143,591.0994,589.0695,631.5176,672.9591,0.7651,6,person,right,78.65678299742109,19.854540897703245,player
